Date,Winning Numbers,Jackpot Amount
16/06/2024,3 16 17 18 25 37,15109366500
16/06/2024,3 16 17 18 25 37,15109366500
14/06/2024,10 24 25 26 30 41,13410838000
14/06/2024,10 24 25 26 30 41,13410838000
12/06/2024,1 2 8 13 26 34,41467525000
12/06/2024,1 2 8 13 26 34,41467525000
09/06/2024,4 5 28 32 37 42,36917178000
09/06/2024,4 5 28 32 37 42,36917178000
07/06/2024,15 19 24 25 27 39,32584730500
07/06/2024,15 19 24 25 27 39,32584730500
05/06/2024,11 25 28 33 34 45,28609380500
05/06/2024,11 25 28 33 34 45,28609380500
02/06/2024,2 7 13 23 25 45,24397894000
02/06/2024,2 7 13 23 25 45,24397894000
31/05/2024,4 8 15 23 31 40,22426387500
31/05/2024,4 8 15 23 31 40,22426387500
29/05/2024,4 21 25 27 35 39,20570219000
29/05/2024,4 21 25 27 35 39,20570219000
26/05/2024,4 9 11 14 19 27,18585169500
26/05/2024,4 9 11 14 19 27,18585169500
24/05/2024,2 14 15 17 23 40,16892502000
24/05/2024,2 14 15 17 23 40,16892502000
22/05/2024,2 3 10 22 41 43,15046246500
22/05/2024,2 3 10 22 41 43,15046246500
19/05/2024,5 19 25 35 37 39,13304746000
19/05/2024,5 19 25 35 37 39,13304746000
17/05/2024,8 22 27 29 39 43,69796747000
17/05/2024,8 22 27 29 39 43,69796747000
15/05/2024,3 11 13 21 24 34,63000355500
15/05/2024,3 11 13 21 24 34,63000355500
12/05/2024,3 5 6 9 32 45,56872464500
12/05/2024,3 5 6 9 32 45,56872464500
10/05/2024,12 13 31 38 42 43,53511343500
10/05/2024,12 13 31 38 42 43,53511343500
08/05/2024,2 10 13 22 30 34,50378948500
08/05/2024,2 10 13 22 30 34,50378948500
05/05/2024,10 12 14 16 21 39,16892502000
05/05/2024,10 12 14 16 21 39,
03/05/2024,1 13 14 21 27 43,44647657500
03/05/2024,1 13 14 21 27 43,44647657500
01/05/2024,7 9 17 20 25 29,41717518000
01/05/2024,7 9 17 20 25 29,41717518000
28/04/2024,1 13 14 22 23 37,39429278000
28/04/2024,1 13 14 22 23 37,39429278000
26/04/2024,2 3 25 34 35 38,36854769000
26/04/2024,2 3 25 34 35 38,36854769000
24/04/2024,7 21 30 33 38 39,33913442500
24/04/2024,7 21 30 33 38 39,33913442500
21/04/2024,7 21 36 38 40 45,31115578500
21/04/2024,7 21 36 38 40 45,31115578500
19/04/2024,2 3 20 21 32 33,28496335000
19/04/2024,2 3 20 21 32 33,28496335000
17/04/2024,9 16 26 27 32 41,25900366000
17/04/2024,9 16 26 27 32 41,25900366000
14/04/2024,7 12 16 29 42 45,23427026500
14/04/2024,7 12 16 29 42 45,23427026500
12/04/2024,6 17 18 26 43 45,21014657500
12/04/2024,6 17 18 26 43 45,21014657500
10/04/2024,2 10 30 33 34 40,18500289500
10/04/2024,2 10 30 33 34 40,18500289500
07/04/2024,3 11 15 17 24 35,15945247500
07/04/2024,3 11 15 17 24 35,15945247500
05/04/2024,14 18 22 29 36 37,13802587000
05/04/2024,14 18 22 29 36 37,13802587000
03/04/2024,7 11 14 22 29 34,15715733000
03/04/2024,7 11 14 22 29 34,15715733000
01/04/2024,5 12 13 17 40 41,13833689000
01/04/2024,5 12 13 17 40 41,13833689000
29/03/2024,4 7 25 34 35 38,24266327500
29/03/2024,4 7 25 34 35 38,24266327500
27/03/2024,6 29 31 35 42 44,21920780500
27/03/2024,6 29 31 35 42 44,21920780500
24/03/2024,1 14 22 28 32 42,19560299000
24/03/2024,1 14 22 28 32 42,19560299000
22/03/2024,5 6 11 20 24 45,17383898500
22/03/2024,5 6 11 20 24 45,17383898500
20/03/2024,8 14 26 28 43 45,15554264500
20/03/2024,8 14 26 28 43 45,15554264500
17/03/2024,1 3 5 26 30 42,13712050500
17/03/2024,1 3 5 26 30 42,13712050500
15/03/2024,9 11 16 29 31 33,25152452500
15/03/2024,9 11 16 29 31 33,25152452500
13/03/2024,1 13 25 30 34 40,23424929500
13/03/2024,1 13 25 30 34 40,23424929500
10/03/2024,4 12 19 23 36 41,20891137000
10/03/2024,4 12 19 23 36 41,20891137000
08/03/2024,2 26 28 40 41 45,19076425000
08/03/2024,2 26 28 40 41 45,19076425000
06/03/2024,11 15 34 39 41 43,16998337500
06/03/2024,11 15 34 39 41 43,16998337500
03/03/2024,3 10 17 20 22 27,15089165000
03/03/2024,3 10 17 20 22 27,15089165000
01/03/2024,20 22 24 26 28 37,13505728500
01/03/2024,20 22 24 26 28 37,13505728500
28/02/2024,1 10 21 25 32 39,13552229000
